name,lat,lon
Guoco Tower,1.2770148,103.8454718
HDB Hub,1.331993,103.8484823
Heartland Mall,1.3594964,103.8852025
HillV2 Mall,1.3633978,103.7643632
Hillion Mall,1.3784743,103.7632996
Hougang 1,1.3757064,103.879514
Hougang Green Shopping Mall,1.3792878,103.8879261
Hougang Mall,1.3724413,103.8937329
IMM,1.3347654,103.7466237
ION Orchard,1.3039546,103.8319742
Icon Village,1.2751635,103.8445351
JEM,1.3331331,103.7433992
Jalan Besar Plaza,1.3086303,103.8580368
Jewel Changi Airport,1.3602194,103.9896831
Jewel Changi Basement,1.3602685,103.9897711
Joo Chiat Complex,1.315894,103.8983948
Jubilee Square,1.3717801,103.8477747
Junction 10,1.3803346,103.7601666
Junction 8,1.3505856,103.8486604
Junction Nine,1.4331099,103.8416997
Jurong Point,1.3395495,103.7057717
Kallang Wave Mall,1.3034697,103.8732445
Kang Kar Mall,1.3717185,103.8942289
Katong Plaza,1.3042065,103.9038703
Katong Shopping Centre,1.3038781,103.9011475
Katong Square,1.3047052,103.9047193
Katong V,1.3031334,103.9032312
Keat Hong Shopping Centre,1.3773259,103.7444324
Kinex,1.3146526,103.894811
Knightsbridge,1.3031228,103.8363628
Le Quest Mall,1.3559795,103.7411527
Leisure Park Kallang,1.3021844,103.8765537
Liat Tower,1.3051056,103.8307274
Liat Towers,1.3051056,103.8307274
Limbang Shopping Centre,1.3919798,103.7432115
Liv@Changi,1.3586506,103.9694484
Lot One Shoppers' Mall,1.385156,103.745025
Loyang Point,1.3669967,103.9646242
Lucky Plaza,1.304515,103.833963
MacPherson Mall,1.331794,103.8793578
Mandarin Gallery,1.3020175,103.8365421
Marina Bay Link Mall,1.2809091,103.8537995
Marina One,1.2772634,103.8529601
Marina Square,1.291286,103.857535
Marsiling Mall Hawker Centre,1.4335488,103.7799603
Midpoint Orchard,1.3017606,103.8386507
Millenia Walk,1.2926443,103.8593181
Mustafa Centre,1.3101243,103.8553164
Ngee Ann City,1.3026133,103.8347141
Northpoint City,1.4281701,103.8362366
Northshore Plaza I,1.4166829,103.9020857
Northshore Plaza II,1.4178949,103.9013214
OUE Downtown,1.2774025,103.8486711
Odeon Katong Shopping Complex,1.3046858,103.901932
Old Airport Road Food Centre & Shopping Mall,1.3082432,103.8858159
One Holland Village,1.3111168,103.7941049
Orchard Building,1.3014048,103.83735
Orchard Central,1.3006418,103.8398031
Orchard Gateway,1.3006994,103.8393128
Orchard Gateway @ Emerald,1.301653,103.8388682
Orchard Plaza,1.3012613,103.841131
Orchard Shopping Centre,1.3014967,103.8378882
Orchard Towers,1.3069608,103.82921
PARKTOWN,1.3669054,103.9378084
Pacific Plaza,1.3065597,103.8321236
Palais Renaissance,1.3067203,103.8296522
Paragon,1.3038335,103.8356396
Parklane Shopping Mall,1.3006629,103.849441
Parkway Parade,1.3013803,103.9052851
Pasir Ris Mall,1.3738493,103.9487932
Paya Lebar Square,1.3188127,103.8926009
Peninsula Plaza,1.2923267,103.8508288
Pioneer Mall,1.341702,103.6971791
Plantation Plaza,1.3575333,103.7341702
Plaza 8,1.3335115,103.9655221
Plaza Singapura,1.3004574,103.8452085
Punggol Plaza,1.3942878,103.9130446
Quayside Isle,1.2470884,103.8421833
Queensway Shopping Centre,1.287553,103.8034772
Raffles City Shopping Centre,1.2938989,103.8533513
Rivervale Mall,1.3922311,103.9044753
Rivervale Plaza,1.3853329,103.9019719
Rochester Mall,1.3056598,103.7882026
Roxy Square,1.3033499,103.9046089
Royal Square at Novena,1.3205254,103.8432202
STELLAR@TE2,1.4350534,103.7881753
Scotts Square,1.3058338,103.8329328
Sembawang Shopping Centre,1.4418971,103.824931
Sengkang Grand Mall,1.3832033,103.8922549
Shaw House,1.3058286,103.8315296
Shaw Plaza,1.3249782,103.8512532
Sim Lim Square,1.3030332,103.8530255
Simei Plaza /Blk 248,1.3435043,103.9536221
SingPost Centre,1.3189978,103.8947938
South Beach Avenue,1.294755,103.8559721
South Beach Quarter,1.2957356,103.8561555
Square 2,1.3206989,103.8441378
Sun Plaza,1.4481927,103.8195153
Sunshine Place,1.3777679,103.7390721
Sunshine Plaza,1.3003536,103.8509415
Suntec City,1.2949861,103.8578759
Taman Jurong Shopping Centre,1.3348278,103.7204648
Tampines 1,1.3542178,103.9450121
Tampines Mall,1.352542,103.9447432
Tampines Mart,1.354402,103.9600729
Tang Plaza,1.3050171,103.8330376
Tanglin Mall,1.3048369,103.8238575
Tanjong Katong Complex,1.3163748,103.8943388
Tekka Centre,1.3062231,103.8505301
Tekka Place,1.3045543,103.8523047
The Cathay,1.2994807,103.847662
The Centrepoint,1.3018969,103.8398119
The Centris,1.3394539,103.7052344
The Clementi Mall,1.3149817,103.7642331
The Concourse,1.3008746,103.8618842
The Flow Mall,1.3045553,103.9042659
The Heeren,1.3026344,103.8373397
The Oasis,1.2876789,103.7903736
The Poiz Centre,1.331436,103.8685709
The Seletar Mall,1.3915468,103.8761903
The Shoppes at Marina Bay Sands,1.2840201,103.8588924
The Star Vista,1.3080015,103.7883825
The Woodgrove,1.4290911,103.7811363
The Woodleigh Mall,1.3386981,103.8717098
Thomson Plaza,1.3546008,103.8307608
Tiong Bahru Plaza,1.2864016,103.8273286
Trio,1.3090874,103.856928
United Square,1.3171615,103.8436059
Upper Serangoon Shopping Centre,1.3536238,103.8788344
Valley Point Shopping Centre,1.2931162,103.8270506
Velocity @ Novena Square,1.3197931,103.8438327
Vista Point,1.4309594,103.7939196
VivoCity,1.2643743,103.8220879
Waterway Point,1.4064594,103.9022278
West Coast Plaza,1.3036424,103.766276
West Mall,1.3500366,103.7492868
Westgate,1.3341755,103.7428751
Wheelock Place,1.3046867,103.8306774
White Sands,1.3724456,103.9497597
Wisma Atria,1.3036801,103.8332105
Wisteria Mall,1.41826,103.8412699
Yew Tee Square,1.3982417,103.7470206
YewTee Point,1.3970877,103.7466613
Zhongshan Mall,1.3271312,103.8464973
i12 Katong,1.3051692,103.9050088
myVillage,1.3651486,103.8651556
nex,1.3504477,103.8723218
