school_name,postal_code,sap_ind,autonomous_ind,ip_ind,latitude,longitude
CHUNG CHENG HIGH SCHOOL (MAIN),439012,Yes,Yes,No,1.30509154753048,103.891653229373
CHUNG CHENG HIGH SCHOOL (YISHUN),768547,No,No,No,1.41922603586175,103.837390782849
CLEMENTI PRIMARY SCHOOL,129903,No,No,No,1.31506321827875,103.763144493687
CLEMENTI TOWN SECONDARY SCHOOL,129904,No,No,No,1.31553912945073,103.762020598524
COMMONWEALTH SECONDARY SCHOOL,608784,No,Yes,No,1.31920395934801,103.745637393049
COMPASSVALE PRIMARY SCHOOL,545091,No,No,No,1.39444529636566,103.897812229905
COMPASSVALE SECONDARY SCHOOL,545083,No,No,No,1.39614083952009,103.899847164494
CONCORD PRIMARY SCHOOL,689814,No,No,No,1.38000806197242,103.736225440727
CORPORATION PRIMARY SCHOOL,648347,No,No,No,1.35099779872539,103.707593724342
CRESCENT GIRLS' SCHOOL,247961,No,Yes,No,1.29331947077104,103.817544461755
CREST SECONDARY SCHOOL,609561,No,No,No,1.3431198045076,103.742628105304
DAMAI PRIMARY SCHOOL,479226,No,No,No,1.33546106800406,103.921270169613
DAMAI SECONDARY SCHOOL,479229,No,No,No,1.33692798510393,103.927091653438
DAZHONG PRIMARY SCHOOL,659441,No,No,No,1.3591797447277,103.74847210784
DE LA SALLE SCHOOL,689285,No,No,No,1.3947078296399,103.743201812831
DEYI SECONDARY SCHOOL,569277,No,No,No,1.36599702567717,103.852545772422
DUNEARN SECONDARY SCHOOL,659204,No,No,No,1.36357900792871,103.74472109107
DUNMAN HIGH SCHOOL,436895,Yes,Yes,Yes,1.29996216014962,103.88294155989
DUNMAN SECONDARY SCHOOL,529093,No,Yes,No,1.36065258337022,103.956213906966
EAST SPRING PRIMARY SCHOOL,529258,No,No,No,1.35268400746357,103.961676849165
EAST SPRING SECONDARY SCHOOL,529231,No,No,No,1.35622508992581,103.960640700298
EDGEFIELD PRIMARY SCHOOL,828869,No,No,No,1.40009139510996,103.907847599114
EDGEFIELD SECONDARY SCHOOL,828814,No,No,No,1.40059309981824,103.902687385465
ELIAS PARK PRIMARY SCHOOL,518866,No,No,No,1.37451269377776,103.945128117139
ENDEAVOUR PRIMARY SCHOOL,757521,No,No,No,1.45403837499301,103.817436231731
EUNOIA JUNIOR COLLEGE,573838,No,No,Yes,1.36213757183547,103.841286169122
EVERGREEN PRIMARY SCHOOL,738908,No,No,No,1.44415332824735,103.794577787757
EVERGREEN SECONDARY SCHOOL,738489,No,No,No,1.44149131273737,103.794137756171
FAIRFIELD METHODIST SCHOOL (PRIMARY),139648,No,No,No,1.30054082453424,103.785438270044
