school_name,postal_code,sap_ind,autonomous_ind,ip_ind,latitude,longitude
WOODGROVE PRIMARY SCHOOL,738079,No,No,No,1.43310340168966,103.790604437613
WOODGROVE SECONDARY SCHOOL,738990,No,No,No,1.42831828137013,103.79604758539
WOODLANDS PRIMARY SCHOOL,738853,No,No,No,1.43655108594232,103.791570546509
WOODLANDS RING PRIMARY SCHOOL,738240,No,No,No,1.43495229315857,103.797435733144
WOODLANDS RING SECONDARY SCHOOL,739062,No,No,No,1.43070452883799,103.777625748539
WOODLANDS SECONDARY SCHOOL,739111,No,No,No,1.43912528141356,103.774586410437
XINGHUA PRIMARY SCHOOL,538882,No,No,No,1.35790893589535,103.890472887906
XINGNAN PRIMARY SCHOOL,649036,No,No,No,1.34254744877694,103.687950252103
XINMIN PRIMARY SCHOOL,538784,No,No,No,1.37139548941931,103.883080767491
XINMIN SECONDARY SCHOOL,538789,No,Yes,No,1.37255884700002,103.88305161385
XISHAN PRIMARY SCHOOL,768611,No,No,No,1.43347186925064,103.837755319448
YANGZHENG PRIMARY SCHOOL,556108,No,No,No,1.34864575840923,103.868595527042
YEW TEE PRIMARY SCHOOL,689100,No,No,No,1.39676600905037,103.750985967346
YIO CHU KANG PRIMARY SCHOOL,538720,No,No,No,1.37793264345276,103.885643682171
YIO CHU KANG SECONDARY SCHOOL,569868,No,No,No,1.37797597740925,103.84213696352
YISHUN INNOVA JUNIOR COLLEGE,768675,No,No,No,1.42426692572335,103.83003171149
YISHUN PRIMARY SCHOOL,768679,No,No,No,1.43338602975674,103.834087115915
YISHUN SECONDARY SCHOOL,768516,No,No,No,1.42813324276086,103.828764316679
YISHUN TOWN SECONDARY SCHOOL,768610,No,Yes,No,1.43232156717386,103.838094226361
YU NENG PRIMARY SCHOOL,469623,No,No,No,1.33388930344069,103.932144857355
YUAN CHING SECONDARY SCHOOL,618654,No,No,No,1.34200635764467,103.72089870437
YUHUA PRIMARY SCHOOL,609558,No,No,No,1.34280230475033,103.741105772644
YUHUA SECONDARY SCHOOL,649406,No,No,No,1.34718626876968,103.722687235839
YUMIN PRIMARY SCHOOL,529393,No,No,No,1.35129177656981,103.950461927088
YUSOF ISHAK SECONDARY SCHOOL,828676,No,No,No,1.40693702458178,103.896275149571
YUYING SECONDARY SCHOOL,538884,No,No,No,1.35713595302467,103.890194755287
ZHANGDE PRIMARY SCHOOL,169485,No,No,No,1.28421153335379,103.825951875662
ZHENGHUA PRIMARY SCHOOL,679002,No,No,No,1.37954887512229,103.769313521752
ZHENGHUA SECONDARY SCHOOL,679962,No,No,No,1.38836583415352,103.765510638527
ZHONGHUA PRIMARY SCHOOL,556095,No,No,No,1.36020329705047,103.869762438084
ZHONGHUA SECONDARY SCHOOL,556123,No,Yes,No,1.34840720846208,103.869430481414
