hawker_name,hawker_lat,hawker_lng,hawker_postal_code,hawker_status,hawker_stall_count,hawker_original_completion_year,hawker_hup_completion_date,hawker_description
Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),1.30618664,103.85058557,210665,Existing,119,1980-10-31,30/06/2009,HUP Standard Upgrading
Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),1.31921668,103.86302092,330029,Existing,88,1971-03-17,31/12/2004,HUP Standard Upgrading
Bedok South Road Blk 16,1.32050084,103.93547364,460016,Existing,64,1975-05-12,20/09/2012,HUP Standard Upgrading
Bedok North Street 1 Blk 216,1.32706274,103.93321797,460216,Existing,82,1979-08-21,15/12/2008,HUP Standard Upgrading
Bedok North Street 4 Blk 85 (85 Fengshan Centre),1.33200482,103.93876844,460085,Existing,72,1977-06-30,20/12/2012,HUP Standard Upgrading
Bedok North Street 3 Blk 538,1.33206728,103.92462132,460538,Existing,40,1979-04-30,03/12/2010,HUP Standard Upgrading
Bedok Reservoir Road Blk 630,1.33277279,103.91419084,470630,Existing,36,1982-06-30,28/02/2006,HUP Rebuilding
Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),1.33321993,103.93058152,460511,Existing,42,1979-03-16,01/07/2004,HUP Standard Upgrading
Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),1.32064637,103.88702414,380117,Existing,79,1978-09-15,30/11/2005,HUP Standard Upgrading
Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),1.28550446,103.82182326,151115,Existing,84,1973-03-29,28/02/2012,HUP Standard Upgrading
Changi Village Blk 2 and 3,1.38915165,103.98824525,500002,Existing,87,1975-11-12,28/12/2012,HUP Standard Upgrading
Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),1.32783415,103.88710267,370080,Existing,16,1967-09-01,22/02/2003,HUP Reconfiguration
Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),1.34522407,103.71280068,641221,Existing,72,1976-01-02,01/08/2004,HUP Reconfiguration
Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),1.28630594,103.80449264,150120,Existing,88,1978-09-14,15/11/2010,HUP Standard Upgrading
Cambridge Road Blk 41A (Pek Kio Market and Food Centre),1.31613128,103.85023294,211041,Existing,50,1981-12-18,07/03/2003,HUP Reconfiguration
Circuit Road Blk 79/79A,1.32659707,103.88505229,370079,Existing,106,1971-03-31,11/05/2010,HUP Standard Upgrading
Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),1.31437328,103.77080549,120353,Existing,18,1978-01-26,25/10/2012,HUP Standard Upgrading
Clementi Ave 3 Blk 448,1.31331969,103.76451719,120448,Existing,51,1980-01-12,29/10/2010,HUP Standard Upgrading
Empress Road Blk 7 (Empress Road Market and Food Centre),1.31624053,103.8056367,260007,Existing,40,1976-03-26,02/12/2008,HUP Standard Upgrading
Circuit Road Blk 89,1.32357971,103.88543884,370089,Existing,40,1967-09-01,08/04/2009,HUP Standard Upgrading
Clementi West Street 2 Blk 726,1.30381073,103.76425075,120726,Existing,60,1980-11-29,26/11/2009,HUP Standard Upgrading
Eunos Crescent Blk 4A,1.32033126,103.90425648,402004,Existing,42,2000-07-07,30/03/2012,HUP Standard Upgrading
Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),1.35408274,103.89013041,530105,Existing,51,1982-06-30,11/11/2005,HUP Rebuilding
Holland Drive Blk 44 (Holland Drive Market and Food Centre),1.3081178,103.79277377,270044,Existing,45,1999-01-31,31/03/2014,HUP Standard Upgrading
Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),1.35908384,103.88605537,530209,Existing,66,1983-09-30,24/01/2011,HUP Standard Upgrading
Geylang Serai Market,1.31673635,103.89822789,402001,Existing,63,2009-07-03,03/07/2009,HUP Rebuilding
Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),1.31510752,103.89558794,430013,Existing,72,1977-07-30,04/08/2010,HUP Reconfiguration
Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),1.28797052,103.82962341,161022,Existing,30,1969-11-16,27/04/2007,HUP Standard Upgrading
Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),1.30236035,103.88390947,432004,Existing,36,1969-01-03,16/02/2012,HUP Standard Upgrading
Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1.34541698,103.73170384,600347,Existing,56,1984-10-17,31/12/2002,HUP Standard Upgrading
Toa Payoh Lorong 8 Blk 210,1.34026105,103.85439576,310210,Existing,80,1974-08-27,30/09/2011,HUP Standard Upgrading
Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),1.28688297,103.80813127,150006,Existing,96,1974-10-11,11/08/2006,HUP Reconfiguration
Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),1.2800048,103.8260133,160112,Existing,22,1969-01-01,28/11/2013,HUP Standard Upgrading
Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),1.31502842,103.87162042,380017,Existing,84,1974-02-28,13/01/2009,HUP Standard Upgrading
Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),1.28823101,103.83993417,161001,Existing,21,1969-01-21,04/10/2010,HUP Standard Upgrading
West Coast Drive Blk 503 (Ayer Rajah Food Centre),1.31180309,103.75975141,120503,Existing,80,1979-03-26,15/12/2002,HUP Standard Upgrading
Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),1.28529508,103.84582428,051531,Existing,103,1978-01-28,09/03/2011,HUP Reconfiguration
Zion Riverside Food Centre,1.29234221,103.83118902,247792,Existing,32,1976,05/03/2003,HUP Standard Upgrading
Bedok Food Centre,1.32035016,103.9554776,469572,Existing,32,1971,06/02/2005,HUP Rebuilding
Serangoon Garden Market,1.36308501,103.86672495,555945,Existing,46,1957,26/09/2002,HUP Rebuilding
Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),1.32342819,103.8540602,320091,Existing,52,1973-01-03,25/10/2007,HUP Standard Upgrading
East Coast Lagoon Food Village,1.30726107,103.93479974,468960,Existing,63,1978,10/12/2003,HUP Rebuilding
Amoy Street Food Centre (Telok Ayer Food Centre),1.27923121,103.84661927,069111,Existing,134,1983,17/02/2003,HUP Standard Upgrading
Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1.43144775,103.82853767,760104,Existing,56,1984-03-31,04/08/2003,HUP Standard Upgrading
Tanglin Halt Market,1.30054408,103.79773798,148813,Existing,28,1964,01/10/2003,HUP Standard Upgrading
Pasir Panjang Food Centre,1.27591797,103.79141091,118543,Existing,45,1978,20/05/2002,HUP Standard Upgrading
Sembawang Hills Food Centre (Jalan Leban Food Centre),1.37231949,103.82901815,574419,Existing,36,1974,26/02/2003,HUP Standard Upgrading
Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),1.32306494,103.85499618,320090,Existing,80,1976-08-26,25/10/2007,HUP Standard Upgrading
Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),1.36410721,103.84824217,560341,Existing,32,1979,01/03/2002,HUP Rebuilding
Berseh Food Centre,1.30734411,103.85688878,208877,Existing,66,1975,05/03/2004,HUP Standard Upgrading
Tiong Bahru Market,1.2847856,103.83218155,168898,Existing,83,,10/02/2006,HUP Rebuilding
Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),1.30229656,103.90634383,440084,Existing,55,1976-08-23,,Opted out of HUP
New Upper Changi Road Blk 208B,1.32478237,103.9305703,462208,Existing,70,2014-11-15,,New Replacement Centre
Shunfu Road Blk 320 (Shunfu Mart),1.35202557,103.83696451,570320,Existing,31,2000-05-25,,Not eligible for HUP
Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),1.2836614,103.81707272,150163,Existing,57,1980-05-05,,Opted out of HUP
Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),1.32146311,103.87000501,330069,Existing,78,1974-01-16,,Opted out of HUP
Ghim Moh Road Blk 20,1.31099663,103.78823031,270020,Existing,72,1977-01-24,,Opted out of HUP
West Coast Drive Blk 502 (Ayer Rajah Market),1.31190696,103.75912802,120502,Existing,0,1995-01-19,,Not eligible for HUP
Maxwell Food Centre (Kim Hua Market),1.28033143,103.84474723,069184,Existing,103,1935,,Upgraded prior to HUP
